room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
17576497,14730578,Entire home/apt,,24,0,0.0,4,1.0,149.0,,56.173292,10.215436,2017-03-30 22:19:30.350623
13509967,43610548,Entire home/apt,,4,0,0.0,13,5.0,149.0,,56.182153,10.208236,2017-03-30 22:19:30.347030
1030077,4708161,Entire home/apt,,3,9,5.0,8,3.0,149.0,,56.174322,10.176438,2017-03-30 22:19:30.344048
13413551,33165735,Entire home/apt,,24,0,0.0,5,2.0,146.0,,56.146254,10.196929,2017-03-30 22:19:30.336264
13483579,77210765,Entire home/apt,,24,1,0.0,6,2.0,149.0,,56.146729,10.190181,2017-03-30 22:19:30.328421
17761435,48240183,Entire home/apt,,24,0,0.0,2,1.0,164.0,,56.157529,10.205539,2017-03-30 22:19:30.325936
17555549,14422892,Entire home/apt,,24,3,5.0,5,2.0,145.0,,56.159499,10.209559,2017-03-30 22:19:30.320584
3145126,15966952,Entire home/apt,,24,8,5.0,4,2.0,147.0,,56.145949,10.197819,2017-03-30 22:19:30.316113
11922597,24540411,Entire home/apt,,24,6,5.0,5,2.0,172.0,,56.16397,10.229191,2017-03-30 22:19:30.309866
16733447,110961540,Entire home/apt,,24,8,5.0,5,2.0,179.0,,56.157129,10.198137,2017-03-30 22:19:30.306916
5455986,28297043,Entire home/apt,,24,111,5.0,6,2.0,149.0,,56.159409,10.207819,2017-03-30 22:19:30.303330
13059510,72326580,Entire home/apt,,1,3,5.0,8,4.0,142.0,,56.12289,10.189519,2017-03-30 22:19:29.002584
693308,3546477,Entire home/apt,,5,0,0.0,4,2.0,139.0,,56.197215,10.25071,2017-03-30 22:19:29.000106
4231099,4826381,Entire home/apt,,2,1,0.0,7,3.0,134.0,,56.138275,10.177061,2017-03-30 22:19:28.997182
2702175,13657566,Entire home/apt,,10,10,4.5,6,5.0,134.0,,56.162956,10.121982,2017-03-30 22:19:28.994550
15047463,9323678,Entire home/apt,,24,2,0.0,6,2.0,144.0,,56.145843,10.203188,2017-03-30 22:19:28.987201
11036505,23535351,Entire home/apt,,24,2,0.0,5,3.0,134.0,,56.147778,10.194355,2017-03-30 22:19:28.984660
5997336,8873931,Entire home/apt,,24,1,0.0,4,2.0,134.0,,56.166127,10.228381,2017-03-30 22:19:28.980574
3780367,2535020,Entire home/apt,,24,13,5.0,4,1.0,134.0,,56.158413,10.213196,2017-03-30 22:19:28.974449
15779257,102056240,Entire home/apt,,24,0,0.0,4,2.0,127.0,,56.154303,10.197278,2017-03-30 22:19:28.204261
2278139,11633156,Entire home/apt,,24,17,4.5,6,1.0,134.0,,56.161279,10.213805,2017-03-30 22:19:28.201514
6600101,34528640,Entire home/apt,,24,4,3.5,5,2.0,134.0,,56.158646,10.206785,2017-03-30 22:19:28.197791
1229962,6709280,Entire home/apt,,24,1,0.0,2,1.0,128.0,,56.156292,10.199382,2017-03-30 22:19:28.195368
15162682,396365,Entire home/apt,,24,0,0.0,2,1.0,131.0,,56.158159,10.205234,2017-03-30 22:19:28.192294
9186856,5049368,Entire home/apt,,24,6,5.0,5,2.0,134.0,,56.155902,10.196491,2017-03-30 22:19:28.189827
5559734,28823027,Entire home/apt,,24,6,4.5,4,2.0,127.0,,56.156844,10.199529,2017-03-30 22:19:28.185285
12877758,35057283,Entire home/apt,,24,1,0.0,2,1.0,127.0,,56.158129,10.202415,2017-03-30 22:19:28.181871
5923217,30758261,Entire home/apt,,24,7,4.5,5,2.0,142.0,,56.162581,10.210106,2017-03-30 22:19:28.175698
2489136,5036213,Entire home/apt,,6,7,4.5,8,3.0,134.0,,56.156899,10.17111,2017-03-30 22:19:28.172560
1666414,8826114,Entire home/apt,,24,3,4.5,5,3.0,142.0,,56.163167,10.207297,2017-03-30 22:19:28.169639
7451101,7928153,Entire home/apt,,24,11,4.5,6,3.0,134.0,,56.162918,10.199985,2017-03-30 22:19:28.166634
1162374,6366506,Entire home/apt,,24,17,5.0,6,2.0,127.0,,56.164594,10.202657,2017-03-30 22:19:28.163323
12066725,20738901,Entire home/apt,,24,0,0.0,4,2.0,127.0,,56.16377,10.197976,2017-03-30 22:19:28.160243
